"filename", "language", "C#", "Markdown", "XML", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qsfcj2tr_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qsfcj2tr_wpftmp.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qt1g5dng_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qt1g5dng_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qt1g5dng_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qt1g5dng_wpftmp.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qtflgzvy_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qtflgzvy_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qtflgzvy_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qtflgzvy_wpftmp.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qvdusxfn_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qvdusxfn_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 21, 0, 1, 22
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qvdusxfn_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qvdusxfn_wpftmp.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\source\repos\Cell\Cell\obj\Debug\net8.0-windows\Cell_qvx041oi_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 10, 5, 26
